date,country,lat,long,type,cases,uid,iso2,iso3,code3,combined_key,population,continent_name,continent_code
8/29/2020,Algeria,28.0339,1.6596,confirmed,378,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/30/2020,Algeria,28.0339,1.6596,confirmed,365,12,DZ,DZA,12,Algeria,43851043,Africa,AF
8/31/2020,Algeria,28.0339,1.6596,confirmed,348,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/1/2020,Algeria,28.0339,1.6596,confirmed,339,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/2/2020,Algeria,28.0339,1.6596,confirmed,325,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/3/2020,Algeria,28.0339,1.6596,confirmed,311,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/4/2020,Algeria,28.0339,1.6596,confirmed,304,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/5/2020,Algeria,28.0339,1.6596,confirmed,298,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/6/2020,Algeria,28.0339,1.6596,confirmed,293,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/7/2020,Algeria,28.0339,1.6596,confirmed,289,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/8/2020,Algeria,28.0339,1.6596,confirmed,285,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/9/2020,Algeria,28.0339,1.6596,confirmed,278,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/10/2020,Algeria,28.0339,1.6596,confirmed,272,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/11/2020,Algeria,28.0339,1.6596,confirmed,264,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/12/2020,Algeria,28.0339,1.6596,confirmed,255,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/13/2020,Algeria,28.0339,1.6596,confirmed,247,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/14/2020,Algeria,28.0339,1.6596,confirmed,242,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/15/2020,Algeria,28.0339,1.6596,confirmed,238,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/16/2020,Algeria,28.0339,1.6596,confirmed,232,12,DZ,DZA,12,Algeria,43851043,Africa,AF
9/17/2020,Algeria,28.0339,1.6596,confirmed,228,12,DZ,DZA,12,Algeria,43851043,Africa,AF
